City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Sur,OM,22.57,59.53,83.32,72,0,11.03,clear sky
116,Kruisfontein,ZA,-34.0,24.73,57.69,40,0,3.4,clear sky
117,Sao Filipe,CV,14.9,-24.5,78.42,87,71,7.0,broken clouds
118,Avarua,CK,-21.21,-159.78,71.6,64,0,4.7,clear sky
119,Najran,SA,17.49,44.13,82.4,51,40,13.87,scattered clouds
120,Constitucion,CL,-35.33,-72.42,55.09,90,1,6.51,clear sky
121,Vao,NC,-22.67,167.48,67.17,70,2,15.55,clear sky
122,Bilibino,RU,68.05,166.44,50.77,60,93,0.83,overcast clouds
123,Tucuman,AR,-26.82,-65.22,77.0,36,0,6.93,smoke
124,Asau,RO,46.43,26.4,52.0,94,0,1.95,clear sky
125,Simao,CN,22.79,100.97,67.57,88,100,3.15,overcast clouds
126,Upernavik,GL,72.79,-56.15,44.08,69,93,6.62,overcast clouds
127,Chokurdakh,RU,70.63,147.92,49.73,63,100,3.56,overcast clouds
128,Broken Hill,AU,-31.95,141.43,44.6,48,100,6.93,overcast clouds
129,Bengkulu,ID,-3.8,102.27,74.61,92,43,3.38,scattered clouds
130,Bollnas,SE,61.35,16.39,62.01,94,91,5.75,overcast clouds
131,Tinogboc,PH,12.01,121.41,83.32,76,100,6.78,overcast clouds
132,Umm Kaddadah,SD,13.6,26.69,76.66,72,12,17.63,few clouds
133,Coquimbo,CL,-29.95,-71.34,57.2,82,3,6.93,clear sky
134,Hasaki,JP,35.73,140.83,75.2,88,20,3.36,few clouds
135,Pingyi,CN,35.5,117.63,78.13,88,36,6.55,light rain
136,Dingle,PH,11.0,122.67,76.55,84,100,2.8,overcast clouds
137,Wewak,PG,-3.55,143.63,79.21,86,84,7.87,broken clouds
138,Meulaboh,ID,4.14,96.13,76.57,84,100,3.74,light rain
139,Avera,US,33.19,-82.53,95.0,41,1,8.41,clear sky
140,New Norfolk,AU,-42.78,147.06,46.0,80,80,1.01,light rain
141,Pevek,RU,69.7,170.31,37.11,93,100,3.13,overcast clouds
142,Primorka,RU,47.28,39.06,63.0,77,24,8.99,few clouds
143,Mantua,IT,45.17,10.78,75.0,90,82,7.0,moderate rain
144,Ornskoldsvik,SE,63.29,18.72,57.2,87,99,3.36,overcast clouds
145,Tazovskiy,RU,67.47,78.7,52.41,88,37,6.29,scattered clouds
146,Denpasar,ID,-8.65,115.22,73.4,100,20,2.24,few clouds
147,Slyudyanka,RU,51.66,103.71,56.93,83,100,4.56,light rain
148,Bethel,US,41.37,-73.41,84.0,78,75,9.17,broken clouds
149,Talnakh,RU,69.49,88.4,55.4,87,95,6.71,overcast clouds
150,Port Hedland,AU,-20.32,118.57,55.4,100,90,10.0,overcast clouds
151,Hithadhoo,MV,-0.6,73.08,82.85,77,64,10.89,broken clouds
152,Suez,EG,29.97,32.53,80.78,45,0,8.48,clear sky
153,Aksu,CN,41.12,80.26,75.67,31,34,5.5,scattered clouds
154,Marzuq,YE,14.4,46.47,81.9,54,13,6.08,few clouds
155,Cayenne,GF,4.93,-52.33,82.4,74,45,3.36,scattered clouds
156,Charters Towers,AU,-20.1,146.27,59.09,77,6,10.45,clear sky
157,Mehamn,NO,71.04,27.85,50.0,87,75,9.17,broken clouds
158,Karratha,AU,-20.74,116.85,66.31,78,76,5.35,broken clouds
159,Odessa,UA,46.48,30.73,68.0,52,0,4.47,clear sky
160,San Jose,US,37.34,-121.89,86.0,42,5,8.05,clear sky
161,Saint Anthony,US,45.02,-93.22,73.4,46,1,12.75,clear sky
162,Sao Paulo De Olivenca,BR,-3.38,-68.87,83.86,61,53,2.04,broken clouds
163,Kalmunai,LK,7.42,81.82,80.46,68,100,6.24,overcast clouds
164,Batticaloa,LK,7.71,81.69,81.46,66,97,11.25,overcast clouds
165,Leningradskiy,RU,69.38,178.42,40.23,85,99,9.8,overcast clouds
166,Dawei,MM,14.08,98.2,79.14,84,100,16.04,moderate rain
167,Port Blair,IN,11.67,92.75,82.11,80,100,25.95,light rain
168,Maraba,BR,-5.37,-49.12,82.4,54,52,2.28,broken clouds
169,Rathdrum,US,47.81,-116.89,90.0,29,1,3.36,clear sky
170,Shingu,JP,33.73,135.98,76.66,87,97,2.42,overcast clouds
171,Rawson,AR,-43.3,-65.1,52.68,43,0,9.28,clear sky
172,Cidreira,BR,-30.18,-50.21,62.19,71,100,7.34,overcast clouds
173,Kahului,US,20.89,-156.47,87.8,52,40,23.04,scattered clouds
174,The Valley,AI,18.22,-63.06,87.8,74,20,10.29,tornado
