City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
561,Kingman,US,87.8,clear sky,35.19,-114.05,Rodeway Inn Kingman Route 66
564,Pahrump,US,86.0,clear sky,36.21,-115.98,Best Western Pahrump Oasis
565,Bambui,BR,76.03,clear sky,-20.01,-45.98,Paulinelli Palace Hotel
566,Mogadishu,SO,80.6,scattered clouds,2.04,45.34,Hotel Juba
568,Cedar City,US,77.0,clear sky,37.68,-113.06,Hampton Inn Cedar City
571,Arys,KZ,86.0,clear sky,42.43,68.8,"Gostinitsa ""Madani"""
574,Hami,CN,86.36,broken clouds,42.8,93.45,Laoyutang Resort
575,Bintulu,MY,77.0,few clouds,3.17,113.03,900 Boutique INN
576,Menongue,AO,79.07,few clouds,-14.66,17.69,Ritz Lauca
584,Manzanillo,CU,89.55,overcast clouds,20.34,-77.12,Adrian & Tonia
587,Auki,SB,76.93,clear sky,-8.77,160.7,Auki Motel
595,Derzhavinsk,KZ,79.52,clear sky,51.1,66.32,Ooo.khim Baza
597,Akalkot,IN,79.63,moderate rain,17.53,76.22,Hotel Vikas
599,Pirgos,GR,86.0,few clouds,35.12,25.72,Daios Cove
600,Marechal Candido Rondon,BR,75.54,clear sky,-24.56,-54.06,Hotel Bender
601,Itoman,JP,84.2,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
605,Pasighat,IN,81.77,broken clouds,28.07,95.33,Siang Guest House
615,Nouakchott,MR,89.6,clear sky,18.09,-15.98,Hôtel Iman
616,Kanashevo,RU,82.4,scattered clouds,55.22,62.06,Klim
619,Kisangani,CD,82.4,few clouds,0.52,25.2,Grand Ramela Hotel
623,Pitsunda,GE,78.8,broken clouds,43.16,40.34,Hotel FREEDOM
624,Warangal,IN,82.65,moderate rain,18.0,79.58,Capital O 66968 Haveli The Landmark
626,Tomigusuku,JP,84.2,broken clouds,26.18,127.67,DoubleTree by Hilton Hotel Naha
629,Sorong,ID,77.23,heavy intensity rain,-0.88,131.25,The Waigo Hotel
630,Japura,ID,77.18,few clouds,-0.32,102.35,Rumah mbah Jamah
631,Castres,FR,80.01,overcast clouds,43.58,2.17,Le 81 Hôtel
632,Streator,US,75.2,clear sky,41.12,-88.84,AmericInn by Wyndham Streator
634,Dong Hoi,VN,80.92,overcast clouds,17.48,106.6,Nam Long Hotel
